DATE, BTC_HASH, BTC_ENTR, LTC_HASH, LTC_ENTR
14/11/2017,9245900416884100000,72.23233822255631,31731188805113,52.07978549669316
15/11/2017,9247293484873200000,72.232555575199,31332375455064,52.06153807539797
16/11/2017,10236336834849000000,72.37915201966082,31159338976429,52.05354855199012
17/11/2017,11249888872356000000,72.51536324376761,28318689012874,51.915638402785696
18/11/2017,9787774399489200000,72.31450524728159,32683408969026,52.122442392405446
19/11/2017,10610146610005000000,72.43089708477017,34851312529383,52.2150969142422
20/11/2017,10725128329638000000,72.44644740349781,40239311922335,52.422489559823084
21/11/2017,12083318296671000000,72.61846919245197,37946690170797,52.33785797877853
22/11/2017,11401944052329000000,72.5347323208633,33109468140896,52.1411277599959
23/11/2017,9935085770106500000,72.3360568208576,33640139245821,52.16406760134996
24/11/2017,10703603807436000000,72.44354911425853,34257635840323,52.19030951680991
25/11/2017,10284693888201000000,72.38595134773912,33927076719585,52.17632105157986
26/11/2017,10256587326362000000,72.38200327631516,36836001477524,52.295000390411246
27/11/2017,10792945817706000000,72.45554117992022,42995542523584,52.518071023091494
28/11/2017,10898768696391000000,72.46961764707795,42423879578297,52.49876048248711
29/11/2017,11339673969867000000,72.52683165490419,41870089455933,52.47980392444783
30/11/2017,11332783272019000000,72.5259547163515,48684551259252,52.69734796825885
01/12/2017,11496552266387000000,72.54665376548638,40535693430104,52.43307674699864
02/12/2017,11887072177598000000,72.59484591197139,37958822333257,52.33831915768868
03/12/2017,11051307391562000000,72.48966954675075,39560471531260,52.39794354607796
04/12/2017,12256573657714000000,72.63900822133269,44047606317598,52.55294754482173
05/12/2017,11937893032851000000,72.60100072532809,44132453863247,52.55572389065016
06/12/2017,13342796634339000000,72.76151357874103,58186110709414,52.954558740360305
07/12/2017,13007740610577000000,72.72482288715707,63431501304613,53.07908341249101
08/12/2017,12214283282461000000,72.63402170406076,75355774508434,53.32760199372432
09/12/2017,12986869909354000000,72.722506248206,94230029574912,53.65007082054505
10/12/2017,13742019185411000000,72.80404649567426,86549169239188,53.527403895671384
11/12/2017,13318752795891000000,72.75891148421631,88683695033708,53.562552805826236
12/12/2017,13118380983427000000,72.73704217281563,96562142255092,53.68534160702712
13/12/2017,13163876274379000000,72.74203686528476,88967725319382,53.56716599082569
14/12/2017,14878857260313000000,72.91871622086438,97494618293255,53.69920650826902
15/12/2017,14220037479151000000,72.85337776076837,94678348632390,53.656918467021754
16/12/2017,13163479627416000000,72.74199339410531,103540277661020,53.78600411106991
17/12/2017,14393648748103000000,72.87088485079389,103329663414680,53.78306649497993
18/12/2017,15317054913971000000,72.96059142316057,103982908528650,53.792158433753364
19/12/2017,15108397906927000000,72.94080317872456,95437113030014,53.66843432624037
20/12/2017,13506766084755000000,72.77913478593372,96423520110305,53.68326902284873
21/12/2017,12572536031212000000,72.67572818135002,102344522388060,53.76924590843167
22/12/2017,13044816129128000000,72.72892910240459,98442511607319,53.7131653904136
23/12/2017,13816847402563000000,72.81188096613435,103260647809380,53.78210257295837
24/12/2017,13664759948603000000,72.79591260934554,104459592256740,53.79875699639649
25/12/2017,13420852657220000000,72.76992882549489,101837043952081,53.76207446642906
26/12/2017,12763549784010000000,72.69748211897598,107709902820050,53.842962915900394
27/12/2017,14293912778301000000,72.8608533834189,106411590346530,53.825467316607536
28/12/2017,14249239951851000000,72.85633746197078,107607047145440,53.84158458146831
29/12/2017,14325656200640000000,72.8640537179035,110118941142810,53.874874661686086
30/12/2017,14328464009214000000,72.86433645640595,107388125648850,53.83864649627757
31/12/2017,15171616924443000000,72.94682734324954,110498862771880,53.87984354073646
01/01/2018,15048148877267000000,72.93503852055069,105335544208640,53.81080435747392
02/01/2018,15957984830432000000,73.01973097331832,104219928246070,53.795443185526494
03/01/2018,14891406580385000000,72.91993252469048,110304746082580,53.877306886026794
04/01/2018,16436908415446000000,73.06239146432581,105703978903150,53.81584170250618
05/01/2018,15024039248099000000,72.93272523029421,114052160239080,53.925505791625056
06/01/2018,14943722703185000000,72.92499208300931,107488606818010,53.839995769354765
07/01/2018,15835890599768000000,73.00865049919601,101709097820090,53.76026075212499
08/01/2018,15564540281440000000,72.983715458953,100680200696320,53.74559201640749
09/01/2018,15884650830191000000,73.01308587103145,98548037046141,53.714711058902566
10/01/2018,16501710256999000000,73.06806804821629,103671266969800,53.78782811804496
11/01/2018,16883163913529000000,73.10103778452354,101353692652330,53.75521067086295
12/01/2018,17761083535737000000,73.17417209103199,99934626562856,53.734868571167496
13/01/2018,17874872101723000000,73.1833854125128,98214898746809,53.70982581535117
14/01/2018,16756238347715000000,73.09015080431409,106805079832140,53.830792284618134
15/01/2018,16188900866489000000,73.04045753160311,106722153601580,53.829671703737844
16/01/2018,17024516391007000000,73.11306631008324,103424945588480,53.784396217495136
17/01/2018,19420997594116000000,73.3030698026154,107062838091050,53.83426982108589
18/01/2018,18644879821452000000,73.2442319913762,108286563844120,53.85066626391502
19/01/2018,17190458445936000000,73.12706051338169,106716950497740,53.82960136524818
20/01/2018,20723545530334000000,73.39672334394007,110812908142320,53.88393796373782
21/01/2018,20076476050008000000,73.35095855391246,103709107371280,53.78835461106861
22/01/2018,19621873564316000000,73.31791529499948,106484265749820,53.82645229066871
23/01/2018,20055696449824000000,73.34946455909738,105088179443330,53.807412419736096
24/01/2018,18693317113106000000,73.24797509015441,109872951368770,53.87164828483216
25/01/2018,21290817074846000000,73.43568381032347,108042487555710,53.84741078067755
26/01/2018,19392159664874000000,73.30092597572262,112280995016320,53.90292577287268
27/01/2018,20629933647233000000,73.39019167439781,122461544556080,54.028140803345366
28/01/2018,18958661972783000000,73.26830964148711,111155149384060,53.88838680326016
29/01/2018,19987215769643000000,73.34453001120686,119641167165656,53.994525908844345
30/01/2018,21731784189133000000,73.46525911864101,125197324660770,54.06001575259621
31/01/2018,18087432833991000000,73.20044015280811,118840981542070,53.984844444890115
01/02/2018,17614756901754000000,73.16223705793863,117711356600340,53.971065534882484
02/02/2018,21809169999327000000,73.47038735913267,123889693712160,54.044868194704144
03/02/2018,21109405215282000000,73.42333842282,122242033490390,54.025552466767984
04/02/2018,21016871980311000000,73.41700045693258,126843931562900,54.07886651889998
05/02/2018,24520821702638000000,73.63945981848796,132472102905200,54.14150059566798
06/02/2018,23221901933159000000,73.56093863081192,133372217200310,54.15127018857637
07/02/2018,20576994820576000000,73.3864847917183,137886618947670,54.19929447784109
08/02/2018,21028915062819000000,73.41782691290395,133542110597130,54.15310676584965
09/02/2018,18360937041376000000,73.22209218121695,138245035839570,54.20303969541354
10/02/2018,19006917325142000000,73.27197705793756,131416880012390,54.1299626153257
11/02/2018,22788321686848000000,73.53374717034067,128849762554680,54.10150189750957
12/02/2018,22272708761809000000,73.50072951980579,137852771355160,54.19894029011295
13/02/2018,24091160235697000000,73.61395636912304,134487731635450,54.16328659083861
