date,hashrate
2013/03/30,2706906448
2013/03/31,3053921199
2013/04/01,3481284073
2013/04/02,4103434746
2013/04/03,6067389726
2013/04/04,6034456990
2013/04/05,5981780077
2013/04/06,7186433099
2013/04/07,5994296877
2013/04/08,6825971160
2013/04/09,8302551153
2013/04/10,8345081087
2013/04/11,8740210377
2013/04/12,9768050229
2013/04/13,8921204272
2013/04/14,9818197023
2013/04/15,10668172080
2013/04/16,10120801584
2013/04/17,10815395337
2013/04/18,11580465730
2013/04/19,10490059762
2013/04/20,10459121025
2013/04/21,11266157410
2013/04/22,11946001470
2013/04/23,11359223699
2013/04/24,11626360879
2013/04/25,12153718117
2013/04/26,12448572614
2013/04/27,13027457030
2013/04/28,13904932982
2013/04/29,13801307169
2013/04/30,14065370225
2013/05/01,14829975271
2013/05/02,14477966112
2013/05/03,10658173400
2013/05/04,9974598276
2013/05/05,8980215514
2013/05/06,10596628703
2013/05/07,13802223356
2013/05/08,16946653850
2013/05/09,16689841336
2013/05/10,17431583893
2013/05/11,20048825096
2013/05/12,17457111135
2013/05/13,18032720314
2013/05/14,17329734447
2013/05/15,17564180983
2013/05/16,17080402201
2013/05/17,16621480273
2013/05/18,15985806799
2013/05/19,16263077573
2013/05/20,16716435518
2013/05/21,15985561728
2013/05/22,14939114530
2013/05/23,15934374269
2013/05/24,18087536271
2013/05/25,19160395915
2013/05/26,17506691536
2013/05/27,16364883544
2013/05/28,17589718076
2013/05/29,17512201617
2013/05/30,17898394671
2013/05/31,18223776266
2013/06/01,18312955848
2013/06/02,17380529610
2013/06/03,17777558706
2013/06/04,16913723282
2013/06/05,17173488560
2013/06/06,17523497726
2013/06/07,19214941231
2013/06/08,21100522241
2013/06/09,18985184460
2013/06/10,18175347926
2013/06/11,17879770398
2013/06/12,19513661617
2013/06/13,20492250204
2013/06/14,21907687847
2013/06/15,19404068832
2013/06/16,16440749502
2013/06/17,17983242223
2013/06/18,19109843428
2013/06/19,21077397846
2013/06/20,22566814104
2013/06/21,21927225897
2013/06/22,20309931609
2013/06/23,22686279366
2013/06/24,22899261552
2013/06/25,22877410873
2013/06/26,23059622838
2013/06/27,24436298527
2013/06/28,24320616488
2013/06/29,24584484746
2013/06/30,23296289989
2013/07/01,24668882260
2013/07/02,25822870681
2013/07/03,26838122626
2013/07/04,25559081800
2013/07/05,25407583774
2013/07/06,23591564186
2013/07/07,24631756988
2013/07/08,27567618735
2013/07/09,27682370179
2013/07/10,26888557291
2013/07/11,25671909165
2013/07/12,25479590263
2013/07/13,25254445138
2013/07/14,24401801499
2013/07/15,26951034960
2013/07/16,28077375732
2013/07/17,27922451442
2013/07/18,27273051076
2013/07/19,27457500012
2013/07/20,24734394984
2013/07/21,26155452879
2013/07/22,24414414966
2013/07/23,25563120406
2013/07/24,27763637079
2013/07/25,26128805990
2013/07/26,25581710249
2013/07/27,26638521354
2013/07/28,24763779557
2013/07/29,24977116588
2013/07/30,25083910591
2013/07/31,23075145026
2013/08/01,23105836701
2013/08/02,22438501770
2013/08/03,23125993543
2013/08/04,23005430318
2013/08/05,25372908271
2013/08/06,25601856453
2013/08/07,24815542254
2013/08/08,25699556354
2013/08/09,24950464715
2013/08/10,23960154288
2013/08/11,23109063360
2013/08/12,26117698983
2013/08/13,26822583373
2013/08/14,25733256212
2013/08/15,25777364631
2013/08/16,26591804676
2013/08/17,24378598924
2013/08/18,24389905887
2013/08/19,25522272476
2013/08/20,26535345944
2013/08/21,27751889767
2013/08/22,30458263362
2013/08/23,29424577368
2013/08/24,29752080034
2013/08/25,27694540712
2013/08/26,25232633092
2013/08/27,25915821888
2013/08/28,25835114683
2013/08/29,27873053581
2013/08/30,29824470046
2013/08/31,31833012348
2013/09/01,33537189376
2013/09/02,29011192793
2013/09/03,26217281171
2013/09/04,25548579522
2013/09/05,28263840093
2013/09/06,30914468324
2013/09/07,33472523225
2013/09/08,31646426230
2013/09/09,29412919286
2013/09/10,26312368495
2013/09/11,26710659489
2013/09/12,29406752223
2013/09/13,26993395849
2013/09/14,30061961748
2013/09/15,32944812699
2013/09/16,29961197333
2013/09/17,32418295001
2013/09/18,30438797198
2013/09/19,34630606403
2013/09/20,30475473924
2013/09/21,30746360393
2013/09/22,30512448748
2013/09/23,31943566509
2013/09/24,31117266849
2013/09/25,33706166010
2013/09/26,36301592053
2013/09/27,30782701871
2013/09/28,32033812001
2013/09/29,30439953512
2013/09/30,27895596146
2013/10/01,30005105381
2013/10/02,30197085821
2013/10/03,31765826329
2013/10/04,30965156102
2013/10/05,28536602988
2013/10/06,30499426486
2013/10/07,29628653192
2013/10/08,30169783098
2013/10/09,29165122235
2013/10/10,27461232275
2013/10/11,28548811303
2013/10/12,27981820446
2013/10/13,28957365810
2013/10/14,28722598336
2013/10/15,30658326811
2013/10/16,31030878892
2013/10/17,27868205678
2013/10/18,29003707068
2013/10/19,32020658602
2013/10/20,30302868554
2013/10/21,29003797095
2013/10/22,28666947335
2013/10/23,27895983123
2013/10/24,29422837214
2013/10/25,32257598260
2013/10/26,30968539527
2013/10/27,34355600493
2013/10/28,36069244336
2013/10/29,32815595946
2013/10/30,31878261219
2013/10/31,27872780852
2013/11/01,29416000186
2013/11/02,29791969683
2013/11/03,29686068758
2013/11/04,32527979376
2013/11/05,32167514867
2013/11/06,30562017700
2013/11/07,32518734289
2013/11/08,34327075096
2013/11/09,37389213069
2013/11/10,38252806772
2013/11/11,37415986126
2013/11/12,35742767903
2013/11/13,35281083485
2013/11/14,35957554633
2013/11/15,36323756790
2013/11/16,38139373691
2013/11/17,39273776940
2013/11/18,38882151638
2013/11/19,41848833621
2013/11/20,43748807653
2013/11/21,42295076348
2013/11/22,42559826711
2013/11/23,41211721922
2013/11/24,47442899865
2013/11/25,43583396989
2013/11/26,44901677978
2013/11/27,43071656062
2013/11/28,48928485270
2013/11/29,52261562148
2013/11/30,50466483447
2013/12/01,53728535474
2013/12/02,57841743213
2013/12/03,60028233407
