date,hashrate
2010/10/19,16322160651
2010/10/20,17431259660
2010/10/21,23556942545
2010/10/22,17372529323
2010/10/23,18192620874
2010/10/24,19224996154
2010/10/25,22446334888
2010/10/26,24245320081
2010/10/27,24673808205
2010/10/28,22635364148
2010/10/29,24508588090
2010/10/30,25679308021
2010/10/31,33176750230
2010/11/01,27080073783
2010/11/02,27172132651
2010/11/03,29004124581
2010/11/04,29891411212
2010/11/05,32355635057
2010/11/06,32279453499
2010/11/07,36852561920
2010/11/08,39015202980
2010/11/09,47070489705
2010/11/10,43573696532
2010/11/11,50851677595
2010/11/12,42843968338
2010/11/13,43880907479
2010/11/14,54684480053
2010/11/15,50114217455
2010/11/16,43347571863
2010/11/17,52089200697
2010/11/18,63645206178
2010/11/19,68811370966
2010/11/20,42304498447
2010/11/21,45902824334
2010/11/22,52328619860
2010/11/23,51384598983
2010/11/24,56362618925
2010/11/25,54446529924
2010/11/26,67425767018
2010/11/27,65849479831
2010/11/28,57569464040
2010/11/29,66016916855
2010/11/30,76929526491
2010/12/01,72899818026
2010/12/02,78406952216
2010/12/03,76525043468
2010/12/04,85742230088
2010/12/05,93193339952
2010/12/06,96876766484
2010/12/07,92537558498
2010/12/08,96482613877
2010/12/09,101807213091
2010/12/10,104157492141
2010/12/11,99058345713
2010/12/12,107530636169
2010/12/13,98003509103
2010/12/14,94578789518
2010/12/15,109766125955
2010/12/16,113501445626
2010/12/17,106896789204
2010/12/18,98205138442
2010/12/19,103273410661
2010/12/20,108518143855
2010/12/21,112070125172
2010/12/22,128626054721
2010/12/23,104290306148
2010/12/24,107023126448
2010/12/25,113170756356
2010/12/26,108554679106
2010/12/27,112067203941
2010/12/28,125482592137
2010/12/29,121622346218
2010/12/30,117257266251
2010/12/31,119937610770
2011/01/01,124982974311
2011/01/02,129060108832
2011/01/03,136172171732
2011/01/04,118021531818
2011/01/05,119469611458
2011/01/06,126682369770
2011/01/07,118550926770
2011/01/08,143117296268
2011/01/09,126847090767
2011/01/10,138833943125
2011/01/11,131934535829
2011/01/12,136446573689
2011/01/13,143864968666
2011/01/14,145137835500
2011/01/15,151033003360
2011/01/16,156020669379
2011/01/17,159407275417
2011/01/18,147632233956
2011/01/19,146712509464
2011/01/20,158035864356
2011/01/21,173678264444
2011/01/22,146384341547
2011/01/23,159649527791
2011/01/24,160065450472
2011/01/25,151038658572
2011/01/26,167397220734
2011/01/27,175729796585
2011/01/28,173762979011
2011/01/29,167279718015
2011/01/30,178592126762
2011/01/31,166987891473
2011/02/01,194786526201
2011/02/02,176350167149
2011/02/03,170967127061
2011/02/04,194529544405
2011/02/05,209372377130
2011/02/06,195021868015
2011/02/07,206509168564
2011/02/08,236088422158
2011/02/09,230964445649
2011/02/10,242164532768
2011/02/11,242040923563
2011/02/12,251426106660
2011/02/13,254085769370
2011/02/14,255569803049
2011/02/15,268730612080
2011/02/16,287855565391
2011/02/17,318179639415
2011/02/18,369653118211
2011/02/19,332021764349
2011/02/20,334258878241
2011/02/21,349969205716
2011/02/22,375503030827
2011/02/23,405680961288
2011/02/24,407677921739
2011/02/25,401694929953
2011/02/26,450419694691
2011/02/27,628546516437
2011/02/28,493364980643
2011/03/01,392688410450
2011/03/02,429711433410
2011/03/03,470752439150
2011/03/04,557080877166
2011/03/05,678939796883
2011/03/06,774434311136
2011/03/07,700929056632
2011/03/08,545090462485
2011/03/09,526519193174
2011/03/10,506239795027
2011/03/11,470073330167
2011/03/12,494819936894
2011/03/13,496400342772
2011/03/14,425748489489
2011/03/15,408875459156
2011/03/16,506861502335
2011/03/17,491829426985
2011/03/18,530121862342
2011/03/19,433120819174
2011/03/20,475081008003
2011/03/21,551006432759
2011/03/22,514676445531
2011/03/23,524207077313
2011/03/24,611669938075
2011/03/25,526946087887
2011/03/26,526920802633
2011/03/27,510392484117
2011/03/28,525234989084
2011/03/29,567835821495
2011/03/30,532674244536
2011/03/31,640171751764
2011/04/01,634887614133
2011/04/02,619844544192
2011/04/03,594132429879
2011/04/04,625188672216
2011/04/05,658341033277
2011/04/06,676985270296
2011/04/07,618285207322
2011/04/08,632295295804
2011/04/09,668694697974
2011/04/10,674134335667
2011/04/11,661726740193
2011/04/12,680234651306
2011/04/13,779329482487
2011/04/14,706020612151
2011/04/15,600711356181
2011/04/16,650182258683
2011/04/17,703522371654
2011/04/18,716859586070
2011/04/19,658576783830
2011/04/20,694293998753
2011/04/21,713039066100
2011/04/22,747597165432
2011/04/23,785844805969
2011/04/24,776700721852
2011/04/25,798319611651
2011/04/26,917416631085
2011/04/27,879868976417
2011/04/28,748744606595
2011/04/29,884273438794
2011/04/30,1026206807592
2011/05/01,1003543975802
2011/05/02,1048683067221
2011/05/03,1076201219165
2011/05/04,1061836528418
2011/05/05,1147637922893
2011/05/06,1162688138744
2011/05/07,1195943718824
2011/05/08,1141696039121
2011/05/09,1365187660990
2011/05/10,1665860814927
2011/05/11,1461811195698
2011/05/12,1383177431046
2011/05/13,1478039290661
2011/05/14,1821300833892
2011/05/15,1815660700291
2011/05/16,1806451438468
2011/05/17,1986696381247
2011/05/18,2220723431405
2011/05/19,2574945199348
2011/05/20,2530697109143
2011/05/21,2587868140032
2011/05/22,3010543593471
2011/05/23,3160308960901
2011/05/24,3530004408998
2011/05/25,3680706371310
2011/05/26,4313159705965
2011/05/27,4935451648419
2011/05/28,3567628139704
2011/05/29,3551605108545
2011/05/30,3540022661788
2011/05/31,3332414808971
2011/06/01,3625982310687
2011/06/02,4182716592615
2011/06/03,4314872575382
2011/06/04,4548966447063
2011/06/05,4590930446997
2011/06/06,5730585104576
2011/06/07,5188068677725
2011/06/08,5098091033645
2011/06/09,5869984648262
2011/06/10,6278335419797
2011/06/11,6435643224798
2011/06/12,6881871955856
2011/06/13,6531122099038
2011/06/14,6649300149936
2011/06/15,9421314635660
2011/06/16,9862664591574
2011/06/17,8087371220168
2011/06/18,8292720443800
2011/06/19,9309409695274
2011/06/20,10030418730735
2011/06/21,10419514309512
2011/06/22,11448868378922
2011/06/23,10622173967214
2011/06/24,13215345005805
2011/06/25,11138199463564
2011/06/26,10410421635431
2011/06/27,10760657269895
2011/06/28,10767454551335
2011/06/29,11688847255806
2011/06/30,12325070528083
2011/07/01,12807843572958
2011/07/02,11964187810558
2011/07/03,11466278274909
2011/07/04,11210762764140
2011/07/05,10775772742519
2011/07/06,10662168002516
2011/07/07,11221132284304
2011/07/08,11028063858744
2011/07/09,12490496917823
2011/07/10,11267924453591
2011/07/11,11742097437359
2011/07/12,11304353554715
2011/07/13,13124988387076
2011/07/14,12781755137875
2011/07/15,12216713382882
2011/07/16,12961941523723
2011/07/17,12305918202951
